x,y,z
-11.012036868591752,3.6902303696783276,0.0
-8.5518832888062,3.6902303696783276,0.0
-6.091729709020649,3.6902303696783276,0.0
-6.03182573577221,3.689968987627491,0.0
-5.97192632444326,3.6891848613802356,0.0
-5.912036036605885,3.6878780506508106,0.0
-5.852159433137375,3.6860486549579137,0.0
-5.792301073872909,3.683696813617109,0.0
-5.7324655172582935,3.680822705730221,0.0
-5.67265732000283,3.677426550171691,0.0
-5.612881036732293,3.6735086055719157,0.0
-5.55314121964209,3.6690691702975444,0.0
-5.493442418150583,3.664108582428761,0.0
-5.433789178552639,3.658627219733538,0.0
-5.374186043673411,3.6526254996388654,0.0
-5.314637552522383,3.646103879198965,0.0
-5.255148239947706,3.639062855060484,0.0
-5.195722636290856,3.631502963424672,0.0
-5.136365267041626,3.6234247800065433,0.0
-5.077080652493497,3.614828919991043,0.0
-5.017873307399396,3.6057160379861917,0.0
-4.958747740627883,3.5960868279732363,0.0
-4.899708454819781,3.5859420232537973,0.0
-4.840759946045285,3.5752823963940354,0.0
-4.781906703461566,3.5641087591658036,0.0
-4.723153208970905,3.5524219624848383,0.0
-4.664503936879383,3.5402228963459548,0.0
-4.605963353556139,3.52751248975527,0.0
-4.547535917093241,3.514291710659454,0.0
-4.4892260769661885,3.500561565872023,0.0
-4.431038273695061,3.4863231009966613,0.0
-4.372976938506364,3.471577400347594,0.0
-4.315046492995561,3.4563255868670186,0.0
-4.257251348790369,3.440568822039578,0.0
-4.199595907214779,3.424308305803921,0.0
-4.142084558953891,3.4075452764613137,0.0
-4.084721683719539,3.390281010581341,0.0
-4.027511649916761,3.372516822904691,0.0
-3.9704588143111286,3.3542540662430307,0.0
-3.9135675216969625,3.33549413137599,0.0
-3.856842104566459,3.31623844694524,0.0
-3.800286882779754,3.2964884793457,0.0
-3.743906163235949,3.2762457326138685,0.0
-3.687704239545124,3.255511748313284,0.0
-3.631685391701362,3.234288105417122,0.0
-3.575853885756813,3.2125764201879634,0.0
-3.5202139734968148,3.1903783460546973,0.0
-3.4647698921161054,3.1676955734866112,0.0
-3.4095258638961417,3.1445298298646582,0.0
-3.3544860958835576,3.120882879349903,0.0
-3.299654779569784,3.0967565227491813,0.0
-3.245036090571846,3.0721525973779578,0.0
-3.1906341883143745,3.0470729769204055,0.0
-3.1364532157128546,3.0215195712867238,0.0
-3.0824972988581165,2.9954943264676857,0.0
-3.02877054670213,2.968999224386443,0.0
-2.975277050745082,2.9420362827476003,0.0
-2.9220208847237994,2.9146075548835553,0.0
-2.869006104301513,2.8867151295981297,0.0
-2.8162367467590084,2.8583611310074977,0.0
-2.7637168306871662,2.8295477183784286,0.0
-2.711450355680936,2.8002770859638515,0.0
-2.659441302034746,2.7705514628357504,0.0
-2.607693630439392,2.740373112715413,0.0
-2.5562112816804166,2.7097443338010403,0.0
-2.504998176337999,2.678667458592733,0.0
-2.454058214488391,2.6471448537148556,0.0
-2.403395275406909,2.6151789197358153,0.0
-2.353013217272514,2.582772090985245,0.0
-2.302915876873996,2.5499268353686233,0.0
-2.2531070693177844,2.5166456541793294,0.0
-2.203590587737419,2.482931081908165,0.0
-2.1543702030046816,2.44878568605034,0.0
-2.105449663442434,2.414212066909948,0.0
-2.056832694539169,2.3792128574019444,0.0
-2.008522998665295,2.3437907228516366,0.0
-1.9605242547911919,2.3079483607917144,0.0
-1.9128401182070403,2.271688500756818,0.0
-1.8654742202444599,2.2350139040756742,0.0
-1.8184301679999606,2.197927363660812,0.0
-1.7717115440602635,2.1604317037958705,0.0
-1.725321906229458,2.1225297799205176,0.0
-1.679264787258071,2.0842244784130015,0.0
-1.633543694574028,2.0455187163703363,0.0
-1.5881621100155556,2.0064154413861566,0.0
-1.543123489566016,1.9669176313262462,0.0
-1.498431263090734,1.927028294101766,0.0
-1.4540888340757876,1.8867504674401805,0.0
-1.4100995793688251,1.8460872186539337,0.0
-1.3664668489219038,1.8050416444068538,0.0
-1.3231939655363776,1.7636168704783344,0.0
-1.2802842246098547,1.721816051525292,0.0
-1.2377408938852377,1.6796423708419308,0.0
-1.2159508228078342,1.6582293276310702,0.0
-1.193790361330624,1.6371998349071475,0.0
-1.1712662597448456,1.6165602984573633,0.0
-1.1483853791100378,1.5963170052844602,0.0
-1.1251546891640936,1.576476121691639,0.0
-1.1015812662002116,1.5570436914042454,0.0
-1.0776722909113885,1.5380256337287916,0.0
-1.0534350462031077,1.5194277417498778,0.0
-1.0288769149748986,1.5012556805655612,0.0
-1.0040053778714335,1.4835149855617165,0.0
-0.978828011003851,1.4662110607259,0.0
-0.9533524836419967,1.4493491770012428,0.0
-0.9275865558782916,1.4329344706808724,0.0
-0.901538076263934,1.4169719418433468,0.0
-0.8752149794181503,1.4014664528295826,0.0
-0.8486252836112386,1.3864227267617384,0.0
-0.8217770883221204,1.371845346104506,0.0
-0.7946785717711666,1.3577387512692483,0.0
-0.7673379884290271,1.3441072392614055,0.0
-0.7397636665022415,1.3309549623715862,0.0
-0.7119640053963882,1.3182859269107408,0.0
-0.6839474731575407,1.306103991989798,0.0
-0.655722603892822,1.294412868344144,0.0
-0.6272979951708296,1.2832161172032956,0.0
-0.5986823054027361,1.2725171492061154,0.0
-0.5698842512048509,1.2623192233618983,0.0
-0.5409126047434566,1.252625446057647,0.0
-0.5117761910627191,1.2434387701118335,0.0
-0.4824838853964965,1.234761993874944,0.0
-0.4530446104648564,1.2265977603770746,0.0
-0.4234673337561264,1.2189485565228375,0.0
-0.39376106479531386,1.2118167123338253,0.0
-0.3639348523997159,1.2052044002388664,0.0
-0.3339977819225613,1.19911363441228,0.0
-0.30395897248552356,1.193546270160339,0.0
-0.27382757420095044,1.1885040033561274,0.0
-0.24361276538464757,1.1839883699229583,0.0
-0.21332374976007915,1.18000074536652,0.0
-0.18296975365482024,1.1765423443558818,0.0
-0.15256002319013065,1.173614220353493,0.0
-0.12210382146449483,1.1712172652942907,0.0
-0.09161042573199427,1.1693522093140056,0.0
-0.061089124576365984,1.1680196205267561,0.0
-0.030549215081608513,1.1672199048519964,0.0
3.5727640770341825e-17,1.1669533058908677,0.0
0.010183071693869446,1.1670421722112438,0.0
0.020363041525455535,1.1673087441028303,0.0
0.1597528334248135,1.2570502245668727,0.0
0.31623014145839,1.3430359074906344,0.0
0.4897949656261852,1.425265792874114,0.0
0.6804473059281988,1.503739880717313,0.0
0.888187162364431,1.57845817102023,0.0
1.113014534934882,1.6494206637828661,0.0
1.354929423639551,1.7166273590052201,0.0
1.613931828478439,1.780078256687294,0.0
1.8900217494515457,1.839773356829086,0.0
2.1831991865588702,1.8957126594305964,0.0
2.4934641398004143,1.9478961644918258,0.0
2.8208166091761764,1.9963238720127736,0.0
3.165256594686157,2.0409957819934403,0.0
3.526784096330357,2.081911894433826,0.0
3.905399114108774,2.11907220933393,0.0
4.301101648021411,2.152476726693753,0.0
4.713891698068267,2.1821254465132935,0.0
5.14376926424934,2.208018368792554,0.0
5.5907343465646315,2.230155493531533,0.0
